string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18,duration_19,duration_20,duration_21,duration_22,duration_23,duration_24,duration_25
BYKLHDMGKLSID,115,507,129,60,272,43,192,173,113,257,120,81,118,,,,,,,,,,,,
MT,615,294,,,,,,,,,,,,,,,,,,,,,,,
MTCD,676,291,284,67,,,,,,,,,,,,,,,,,,,,,
MUKLH,614,309,142,62,276,,,,,,,,,,,,,,,,,,,,
MUYKLHSIM,564,201,219,145,108,272,145,51,73,,,,,,,,,,,,,,,,
BYKLH,96,495,146,62,278,,,,,,,,,,,,,,,,,,,,
MUHMKLSID,620,241,404,201,101,164,397,134,120,,,,,,,,,,,,,,,,
MUYKLHD,608,225,135,112,232,356,39,,,,,,,,,,,,,,,,,,
MTHDSID,665,296,448,26,368,135,64,,,,,,,,,,,,,,,,,,
MU,674,227,,,,,,,,,,,,,,,,,,,,,,,
BYKLHMKLSID,140,396,144,34,431,212,100,19,343,138,89,,,,,,,,,,,,,,
BYZGKLSI,132,295,92,198,114,207,197,134,,,,,,,,,,,,,,,,,
BYZGKLHS,136,176,101,190,114,171,232,69,,,,,,,,,,,,,,,,,
MT,662,303,,,,,,,,,,,,,,,,,,,,,,,
BYKHSID,115,485,131,316,120,74,83,,,,,,,,,,,,,,,,,,
BYZGKLSI,181,183,96,202,114,218,189,107,,,,,,,,,,,,,,,,,
BYZGEXACH,107,314,99,196,146,77,51,30,285,,,,,,,,,,,,,,,,
BYKLH,109,325,116,235,232,,,,,,,,,,,,,,,,,,,,
BYZGEXACHD,109,329,110,191,138,80,51,43,293,57,,,,,,,,,,,,,,,
BYZGKLH,123,478,115,199,134,96,152,,,,,,,,,,,,,,,,,,
BYZGEKL,124,245,117,195,188,135,80,,,,,,,,,,,,,,,,,,
BYKLS,133,584,130,144,163,,,,,,,,,,,,,,,,,,,,
BYZGKH,97,216,97,211,136,222,,,,,,,,,,,,,,,,,,,
BYXACH,116,538,130,72,56,235,,,,,,,,,,,,,,,,,,,
DMKLHD,96,438,171,36,396,144,,,,,,,,,,,,,,,,,,,
BYZGKLHSI,135,136,89,235,145,144,269,227,27,,,,,,,,,,,,,,,,
BYZGE,145,193,121,200,155,,,,,,,,,,,,,,,,,,,,
MT,574,242,,,,,,,,,,,,,,,,,,,,,,,
BYZGKLHSI,101,210,88,212,118,31,269,232,135,,,,,,,,,,,,,,,,
MT,598,253,,,,,,,,,,,,,,,,,,,,,,,
BYZGEXA,123,192,103,198,103,88,96,,,,,,,,,,,,,,,,,,
BYKLSD,109,462,146,286,127,92,,,,,,,,,,,,,,,,,,,
DMGYKLHS,107,217,136,157,131,258,186,172,,,,,,,,,,,,,,,,,
MUYKLHD,584,236,291,166,45,191,80,,,,,,,,,,,,,,,,,,
BYZGKLHSI,121,127,97,188,142,95,227,170,29,,,,,,,,,,,,,,,,
MGYKLHS,212,107,251,130,64,308,138,,,,,,,,,,,,,,,,,,
MGKLSID,477,178,141,171,494,130,67,,,,,,,,,,,,,,,,,,
DMBYUACHDM,98,221,119,273,150,62,54,278,45,223,,,,,,,,,,,,,,,
BYKLHS,160,539,114,51,390,167,,,,,,,,,,,,,,,,,,,
BYXEK,117,457,109,188,68,,,,,,,,,,,,,,,,,,,,
BYKHS,122,460,143,195,67,,,,,,,,,,,,,,,,,,,,
MTHDS,585,245,328,40,335,,,,,,,,,,,,,,,,,,,,
BYKHSI,112,343,131,256,200,57,,,,,,,,,,,,,,,,,,,
MTHDM,577,234,316,36,159,,,,,,,,,,,,,,,,,,,,
MUXEKLHS,599,220,129,101,97,137,225,139,,,,,,,,,,,,,,,,,
BYKLSD,108,387,114,182,142,44,,,,,,,,,,,,,,,,,,,
BYZGKLSI,113,141,86,168,115,155,135,60,,,,,,,,,,,,,,,,,
