string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18,duration_19
GXGFHXSIL,685,458,111,199,204,325,172,205,94,,,,,,,,,,
MYFHXSIL,635,273,155,292,250,150,272,132,,,,,,,,,,,
BTUS,694,217,293,941,,,,,,,,,,,,,,,
BTUWUWU,402,466,137,104,340,136,36,,,,,,,,,,,,
MYFHRDNMUS,260,274,215,161,145,83,148,101,220,229,,,,,,,,,
BTUWU,212,182,292,91,197,,,,,,,,,,,,,,
MYFEL,594,144,21,173,181,,,,,,,,,,,,,,
MYFHXGHXSIL,255,193,171,205,268,135,174,232,152,142,109,,,,,,,,
BTNU,365,261,279,123,,,,,,,,,,,,,,,
MYFHXGFHXSIL,237,235,152,160,258,120,135,168,306,141,136,96,,,,,,,
MBTUS,109,348,144,238,649,,,,,,,,,,,,,,
BYFHXGFEL,252,264,133,160,253,109,20,167,137,,,,,,,,,,
BTUWU,302,141,257,93,398,,,,,,,,,,,,,,
BTNMNMNMNMNMNUSEL,312,205,301,32,308,105,277,61,315,64,329,43,132,282,144,144,92,,
BTUW,381,249,307,87,,,,,,,,,,,,,,,
BTNMNUW,365,240,322,35,276,263,117,,,,,,,,,,,,
MYFHDNUSEL,248,266,148,153,153,162,240,295,128,113,,,,,,,,,
BTUW,575,204,267,116,,,,,,,,,,,,,,,
BTUW,384,173,301,87,,,,,,,,,,,,,,,
BTUWU,183,274,165,107,280,,,,,,,,,,,,,,
MYFHXGFHXSI,247,290,152,203,244,140,118,132,276,147,99,,,,,,,,
MYEL,501,174,245,235,,,,,,,,,,,,,,,
BTUW,336,233,180,104,,,,,,,,,,,,,,,
BTUWUW,334,184,294,98,450,125,,,,,,,,,,,,,
BTNU,333,354,144,90,,,,,,,,,,,,,,,
MY,218,303,,,,,,,,,,,,,,,,,
MYFHXGFH,389,152,167,166,250,190,99,36,,,,,,,,,,,
MYFHXSIL,487,141,90,283,254,144,190,97,,,,,,,,,,,
BTNMNMNMN,357,308,312,41,292,32,336,45,188,,,,,,,,,,
MYFHDNMNUWIL,388,264,169,202,118,134,78,50,217,140,178,124,,,,,,,
BTU,346,194,254,,,,,,,,,,,,,,,,
MYFEL,428,173,14,178,788,,,,,,,,,,,,,,
MYFHXEL,190,259,132,161,256,161,136,,,,,,,,,,,,
MYFHXGHX,509,261,132,297,275,139,302,387,,,,,,,,,,,
BTUWU,380,223,339,101,20,,,,,,,,,,,,,,
BTUWU,264,202,315,107,198,,,,,,,,,,,,,,
BTUWU,285,345,334,114,556,,,,,,,,,,,,,,
MYEL,501,143,269,741,,,,,,,,,,,,,,,
BTUWUWU,366,196,345,114,722,109,209,,,,,,,,,,,,
BT,479,268,,,,,,,,,,,,,,,,,
MYFHXGHX,243,287,112,208,264,144,255,499,,,,,,,,,,,
BTNMNU,403,209,66,67,70,232,,,,,,,,,,,,,
BTY,421,336,278,,,,,,,,,,,,,,,,
MYFHXGFE,366,245,153,242,268,108,20,161,,,,,,,,,,,
MYFEL,304,171,13,263,138,,,,,,,,,,,,,,
BTU,596,265,326,,,,,,,,,,,,,,,,
MYFHDNTUSZ,305,280,130,153,102,221,130,225,144,119,,,,,,,,,
MYFHDNTUSFXE,317,275,175,153,118,204,124,229,80,28,304,174,,,,,,,
BTUS,327,347,266,298,,,,,,,,,,,,,,,
MYFHXGHXSIL,451,277,194,166,270,126,255,253,175,202,100,,,,,,,,
BTUWUWU,277,174,381,94,659,87,353,,,,,,,,,,,,
BTNMNU,345,179,90,51,153,89,,,,,,,,,,,,,
BTU,479,199,275,,,,,,,,,,,,,,,,
MYFHXSIL,267,304,171,202,411,175,169,102,,,,,,,,,,,
BTUS,356,217,286,260,,,,,,,,,,,,,,,
MYFHXGFH,268,264,193,201,270,144,139,145,,,,,,,,,,,
BTUSIL,488,193,294,153,158,124,,,,,,,,,,,,,
MYFHXGFEL,204,300,108,209,270,126,18,169,139,,,,,,,,,,
MYFHXGFHXS,388,180,211,297,341,122,141,256,263,175,,,,,,,,,
BTUW,430,165,356,109,,,,,,,,,,,,,,,
MYFHEDNMNUWUS,182,180,151,194,110,90,92,65,211,129,109,99,243,,,,,,
BTNMNU,366,182,78,49,113,92,,,,,,,,,,,,,
MYFHL,381,137,12,248,174,,,,,,,,,,,,,,
MYFEL,347,280,17,171,211,,,,,,,,,,,,,,
MYFEL,424,143,15,207,299,,,,,,,,,,,,,,
BTUSZ,414,196,271,167,134,,,,,,,,,,,,,,
MYFH,190,306,170,152,,,,,,,,,,,,,,,
MYFEL,500,141,12,359,179,,,,,,,,,,,,,,
BTUWU,336,216,300,108,384,,,,,,,,,,,,,,
MYFEL,368,185,11,352,183,,,,,,,,,,,,,,
BTUSIL,290,216,255,207,146,117,,,,,,,,,,,,,
BTUWU,380,159,325,106,402,,,,,,,,,,,,,,
BTU,278,630,294,,,,,,,,,,,,,,,,
MYFHDNMNUWUSFXGHXS,414,297,148,148,100,325,100,170,110,78,88,162,30,312,106,275,256,140,
BTU,351,224,287,,,,,,,,,,,,,,,,
MYFH,285,309,211,112,,,,,,,,,,,,,,,
MYF,391,299,154,,,,,,,,,,,,,,,,
BTUWU,321,195,307,94,237,,,,,,,,,,,,,,
BTUWU,399,457,314,132,227,,,,,,,,,,,,,,
BTUSIL,278,314,370,153,170,171,,,,,,,,,,,,,
MYFHDNTUS,185,249,171,109,104,180,154,234,747,,,,,,,,,,
MYFHDNTU,273,283,151,149,64,201,199,126,,,,,,,,,,,
MYFH,444,281,133,33,,,,,,,,,,,,,,,
BTUW,459,601,265,113,,,,,,,,,,,,,,,
BTUSFXGEL,438,146,316,115,28,319,132,235,100,,,,,,,,,,
MYFHXSIL,411,275,128,244,254,117,177,61,,,,,,,,,,,
MYFHXGFEL,246,174,155,259,341,123,19,172,102,,,,,,,,,,
BTUSLXGFE,362,224,278,139,23,283,113,20,177,,,,,,,,,,
