string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
TFJ,776,549,313,,,,,,,,,,
XAQCB,65,119,399,148,194,,,,,,,,
XAQM,88,431,221,259,,,,,,,,,
MCB,506,153,159,,,,,,,,,,
XAQCB,66,307,261,136,124,,,,,,,,
MTQGF,293,228,200,88,177,,,,,,,,
MGCNJ,458,199,158,53,544,,,,,,,,
MCNP,708,170,80,231,,,,,,,,,
XAQMCB,94,107,217,438,185,170,,,,,,,
TCB,551,166,140,,,,,,,,,,
XAF,95,801,212,,,,,,,,,,
XAQCF,77,580,274,114,213,,,,,,,,
XAQM,68,311,275,222,,,,,,,,,
XAQP,76,589,68,162,,,,,,,,,
XAQC,77,722,209,183,,,,,,,,,
XAQCB,76,288,204,145,155,,,,,,,,
XAQ,93,630,136,,,,,,,,,,
MCNP,583,142,30,124,,,,,,,,,
XAQCB,89,369,425,163,248,,,,,,,,
MCB,925,166,444,,,,,,,,,,
XAQCB,64,262,317,139,442,,,,,,,,
MCBFJP,1011,176,450,349,403,154,,,,,,,
XAQGCB,64,249,273,58,109,89,,,,,,,
MUM,415,97,367,,,,,,,,,,
M,823,,,,,,,,,,,,
CBMC,182,281,259,147,,,,,,,,,
XAQ,88,545,283,,,,,,,,,,
XAQCBMCB,62,329,294,128,311,317,166,410,,,,,
TMCB,556,426,170,504,,,,,,,,,
XAQMCPM,64,366,340,267,479,128,222,,,,,,
XAQCB,91,627,390,126,730,,,,,,,,
XAQCB,76,337,229,138,234,,,,,,,,
TMCB,402,161,155,191,,,,,,,,,
XAQCB,64,287,259,169,254,,,,,,,,
XAQCB,67,461,218,230,185,,,,,,,,
TMCB,434,492,169,127,,,,,,,,,
XAQCNP,103,743,215,315,83,137,,,,,,,
MTMCB,684,126,183,154,211,,,,,,,,
XAQ,79,590,193,,,,,,,,,,
XAQCB,80,572,226,193,294,,,,,,,,
MSRPM,342,83,126,215,426,,,,,,,,
TMCB,521,172,192,104,,,,,,,,,
MC,816,123,,,,,,,,,,,
XAQCBM,64,1405,562,154,610,190,,,,,,,
XAQCBM,77,532,260,127,954,189,,,,,,,
XAQ,66,624,270,,,,,,,,,,
XAQCB,36,292,249,177,278,,,,,,,,
XAQCB,79,274,251,215,441,,,,,,,,
TM,497,440,,,,,,,,,,,
XAQCEJP,64,351,237,201,103,419,102,,,,,,
XAMCB,91,462,462,162,234,,,,,,,,
TM,522,409,,,,,,,,,,,
XAQCB,52,304,209,145,225,,,,,,,,
XAMC,67,460,349,184,,,,,,,,,
XAQCBEJP,78,280,248,165,310,125,249,110,,,,,
XAQCB,79,412,265,169,271,,,,,,,,
XAQ,88,715,208,,,,,,,,,,
M,830,,,,,,,,,,,,
XAQ,90,749,65,,,,,,,,,,
XAQ,78,663,196,,,,,,,,,,
XAQ,86,707,208,,,,,,,,,,
XAM,107,1164,177,,,,,,,,,,
XAQCB,63,429,217,164,121,,,,,,,,
XAM,95,793,887,,,,,,,,,,
TMCNP,485,128,177,33,282,,,,,,,,
TB,682,165,,,,,,,,,,,
XA,103,877,,,,,,,,,,,
XAQC,91,694,251,148,,,,,,,,,
XAQ,88,649,134,,,,,,,,,,
TMCBCB,545,249,170,319,971,216,,,,,,,
TMC,490,156,149,,,,,,,,,,
MB,444,390,,,,,,,,,,,
XA,81,789,,,,,,,,,,,
XAQ,76,612,246,,,,,,,,,,
XAQCE,74,339,277,165,141,,,,,,,,
XAQC,75,332,282,156,,,,,,,,,
MUMCB,395,72,483,167,1224,,,,,,,,
XAQ,75,613,207,,,,,,,,,,
TMC,540,160,181,,,,,,,,,,
TMC,653,511,36,,,,,,,,,,
XAQCB,74,263,360,165,485,,,,,,,,
XA,89,794,,,,,,,,,,,
XAQCB,62,380,396,178,264,,,,,,,,
TM,484,356,,,,,,,,,,,
MSRNP,306,83,127,109,202,,,,,,,,
TM,568,291,,,,,,,,,,,
XAQ,89,664,211,,,,,,,,,,
MSRNPCENPM,233,76,125,33,250,175,140,101,148,227,,,
XAQCE,91,355,233,169,132,,,,,,,,
XAQCENM,90,376,219,130,136,120,152,,,,,,
MUMCB,206,98,138,190,458,,,,,,,,
XAQ,77,527,308,,,,,,,,,,
XAMCB,62,376,321,147,166,,,,,,,,
TMCB,697,144,188,328,,,,,,,,,
XAQCNP,78,667,187,188,51,192,,,,,,,
XA,78,871,,,,,,,,,,,
XAQCENP,79,716,239,215,122,83,208,,,,,,
TMCB,492,131,176,164,,,,,,,,,
XA,91,912,,,,,,,,,,,
QCB,220,213,446,,,,,,,,,,
XAQCB,64,683,231,145,428,,,,,,,,
XAQCENP,66,327,202,214,161,129,244,,,,,,
XAQCB,76,735,222,218,321,,,,,,,,
XAQCB,64,778,285,133,114,,,,,,,,
XAQCEJ,64,574,260,155,207,285,,,,,,,
XAQCEN,77,322,253,145,138,130,,,,,,,
TMCB,472,159,193,1282,,,,,,,,,
TMCB,445,136,168,313,,,,,,,,,
XAQCB,47,305,226,226,344,,,,,,,,
XAQCENJP,70,263,229,144,163,98,252,108,,,,,
XAQC,89,328,251,182,,,,,,,,,
XAQC,78,559,231,194,,,,,,,,,
XAQCB,91,695,238,205,250,,,,,,,,
XAQCB,74,324,186,173,75,,,,,,,,
XAQCB,91,381,228,181,153,,,,,,,,
TMCB,437,140,187,79,,,,,,,,,
XAQ,76,771,170,,,,,,,,,,
XAQCENJ,64,335,235,159,139,101,208,,,,,,
XAQ,88,743,170,,,,,,,,,,
TMCENJP,530,134,213,160,102,336,154,,,,,,
XAQ,90,1098,151,,,,,,,,,,
XAQMCEN,89,427,176,290,197,135,26,,,,,,
TMCB,594,149,182,140,,,,,,,,,
MSHNP,254,94,268,104,236,,,,,,,,
TM,649,186,,,,,,,,,,,
XAQCB,61,351,251,265,95,,,,,,,,
TMCB,429,176,171,710,,,,,,,,,
XAQCEJP,91,251,262,127,199,230,172,,,,,,
MSRNPM,215,106,127,132,159,187,,,,,,,
TMCB,432,226,180,336,,,,,,,,,
XAQCEJP,79,291,271,174,164,210,116,,,,,,
TMCEN,516,148,131,161,153,,,,,,,,
TMCB,473,135,221,661,,,,,,,,,
XAQAQMC,78,100,195,174,202,299,215,,,,,,
TMCENPM,403,188,161,144,107,125,159,,,,,,
XAQCENPM,91,405,384,145,139,138,116,220,,,,,
TMCENJP,464,186,196,143,106,171,117,,,,,,
MUMCEJP,554,99,137,182,149,299,122,,,,,,
XAQMCENP,76,128,182,323,214,138,125,70,,,,,
XAQ,92,536,364,,,,,,,,,,
XAQCENP,77,369,187,107,140,158,93,,,,,,
XAQCB,76,294,237,147,180,,,,,,,,
XAQCB,75,359,210,221,193,,,,,,,,
XAQ,63,671,216,,,,,,,,,,
TCB,545,160,839,,,,,,,,,,
XAQAQCB,62,92,201,151,478,223,605,,,,,,
XAQCB,75,109,433,157,465,,,,,,,,
XAQCEJP,63,109,540,167,161,379,108,,,,,,
TMCENJP,413,229,183,187,142,223,131,,,,,,
TMCB,403,404,170,334,,,,,,,,,
TM,447,491,,,,,,,,,,,
XAQCENP,62,348,251,143,159,137,126,,,,,,
XAQAQCE,74,105,219,154,413,157,145,,,,,,
TMCB,481,178,199,222,,,,,,,,,
XAQCB,77,98,440,181,256,,,,,,,,
XAQCB,80,93,358,183,320,,,,,,,,
XAQAQ,49,102,216,137,412,,,,,,,,
XAQAQCB,74,83,304,145,391,208,255,,,,,,
XAQAQ,79,102,198,139,468,,,,,,,,
TMC,468,144,199,,,,,,,,,,
XAQAQCB,52,99,295,145,365,158,57,,,,,,
TCB,523,160,228,,,,,,,,,,
XAQCENJP,76,105,496,148,156,133,215,152,,,,,
