string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18,duration_19,duration_20,duration_21,duration_22,duration_23,duration_24
BYKLHMGKLSID,122,514,114,61,272,236,171,116,256,120,82,113,,,,,,,,,,,,
HMYCD,181,683,291,283,70,,,,,,,,,,,,,,,,,,,
MUKLH,615,310,142,61,276,,,,,,,,,,,,,,,,,,,
MUYKLHSID,560,209,214,146,106,273,143,55,69,,,,,,,,,,,,,,,
BYKLH,98,490,149,63,368,,,,,,,,,,,,,,,,,,,
MUHMKLSID,622,241,402,203,99,166,399,132,121,,,,,,,,,,,,,,,
MUYKLHD,604,229,133,116,231,353,40,,,,,,,,,,,,,,,,,
MTHDSID,663,297,449,25,372,134,61,,,,,,,,,,,,,,,,,
BYKLHMKSID,145,388,150,29,433,212,118,347,130,95,,,,,,,,,,,,,,
BYZGKLSI,136,294,92,199,116,205,199,129,,,,,,,,,,,,,,,,
BYZGKLHS,134,168,107,187,117,174,228,71,,,,,,,,,,,,,,,,
BYKHSID,117,482,135,316,122,88,68,,,,,,,,,,,,,,,,,
BYZGKLSI,182,177,97,202,118,216,192,99,,,,,,,,,,,,,,,,
BYZGXACH,113,310,97,197,147,126,27,286,,,,,,,,,,,,,,,,
BYKLH,115,317,135,218,226,,,,,,,,,,,,,,,,,,,
BYZGEXACH,110,330,110,188,136,74,58,44,263,,,,,,,,,,,,,,,
BYZGKLH,129,473,115,195,137,97,148,,,,,,,,,,,,,,,,,
BYZGEKL,122,245,117,199,182,136,81,,,,,,,,,,,,,,,,,
BYKLS,134,579,136,143,162,,,,,,,,,,,,,,,,,,,
BYZGKH,102,214,95,207,135,271,,,,,,,,,,,,,,,,,,
BYXACH,112,537,137,82,44,236,,,,,,,,,,,,,,,,,,
HDMGKLHD,369,107,288,150,149,54,396,143,,,,,,,,,,,,,,,,
BYZGKLHS,139,151,71,234,137,157,267,226,,,,,,,,,,,,,,,,
HDMHMHDSID,263,113,261,377,224,246,55,145,81,93,,,,,,,,,,,,,,
BYZGKHSI,107,196,100,213,144,271,232,132,,,,,,,,,,,,,,,,
BYKLSD,101,466,151,285,125,95,,,,,,,,,,,,,,,,,,
HDMGYKLHS,128,114,217,131,158,136,255,185,172,,,,,,,,,,,,,,,
MUYKLHD,582,247,283,166,46,190,82,,,,,,,,,,,,,,,,,
