string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18
GXGFHXSIL,684,452,113,199,206,329,171,202,95,,,,,,,,,
MYFHXSIL,636,271,189,260,248,151,273,130,,,,,,,,,,
BTUS,695,215,291,943,,,,,,,,,,,,,,
BTUWUWU,409,464,132,107,341,135,35,,,,,,,,,,,
MYFHRDNMUS,320,217,211,165,139,86,149,98,222,226,,,,,,,,
BTUWU,209,183,294,76,210,,,,,,,,,,,,,
MYEL,486,252,188,185,,,,,,,,,,,,,,
MYFHXGHXSIL,214,238,169,204,270,130,177,236,147,151,100,,,,,,,
MBTNU,114,341,175,276,123,,,,,,,,,,,,,
MYFHXGFHXSIL,234,243,149,161,256,125,130,168,309,143,133,97,,,,,,
MBTUS,183,270,143,234,650,,,,,,,,,,,,,
MYFHXGEL,245,270,133,160,241,120,186,138,,,,,,,,,,
MBUWU,177,265,265,82,400,,,,,,,,,,,,,
MBTNMNMNMNMNMNUSEL,91,225,203,301,33,314,102,272,62,318,61,329,41,133,272,159,136,100
BTU,384,245,394,,,,,,,,,,,,,,,
BTNMNUW,364,248,320,36,276,262,114,,,,,,,,,,,
MYFHDNUSEL,243,272,150,151,149,166,237,296,127,113,,,,,,,,
BTUW,575,207,263,117,,,,,,,,,,,,,,
BTUW,383,172,305,84,,,,,,,,,,,,,,
MYFGXGFHXSI,245,292,151,204,243,143,117,130,278,147,97,,,,,,,
MYEL,515,160,247,231,,,,,,,,,,,,,,
BTUWUW,337,184,298,90,456,120,,,,,,,,,,,,
BTNU,369,323,142,91,,,,,,,,,,,,,,
MYFHXGFH,341,200,170,165,271,166,100,36,,,,,,,,,,
MYFHXSIL,318,306,92,283,251,148,193,93,,,,,,,,,,
BTNMNMNMN,359,301,311,45,289,36,329,56,183,,,,,,,,,
MYFHDMUSIL,327,323,171,201,112,265,217,144,166,129,,,,,,,,
MXEL,431,171,191,785,,,,,,,,,,,,,,
MYFHXEL,196,260,129,160,254,160,140,,,,,,,,,,,
MYFHXGHX,509,271,128,294,286,129,310,377,,,,,,,,,,
BTUWU,379,221,347,95,25,,,,,,,,,,,,,
BTUWU,264,200,320,106,195,,,,,,,,,,,,,
BTUWU,289,346,341,98,564,,,,,,,,,,,,,
MYEL,503,146,269,740,,,,,,,,,,,,,,
BTUWUWU,366,197,344,112,730,105,205,,,,,,,,,,,
MYFHXGHX,240,292,114,209,261,143,259,495,,,,,,,,,,
BTNMNU,406,207,69,70,70,224,,,,,,,,,,,,
BTY,419,336,274,,,,,,,,,,,,,,,
MYFHXGE,367,250,153,241,277,105,179,,,,,,,,,,,
MYEL,308,167,275,139,,,,,,,,,,,,,,
BTU,602,260,328,,,,,,,,,,,,,,,
MYFHDNTUSZ,304,282,132,149,102,226,126,225,145,115,,,,,,,,
MYFHNMTUSFXE,315,276,175,152,118,203,128,228,77,37,295,174,,,,,,
BTUS,331,345,264,298,,,,,,,,,,,,,,
MYFHXGHXSIL,450,287,183,169,274,121,257,254,174,202,97,,,,,,,
BTUWUWU,279,169,392,87,659,88,352,,,,,,,,,,,
BTNMNU,344,181,84,57,153,87,,,,,,,,,,,,
BTU,483,195,278,,,,,,,,,,,,,,,
MYFHXSIL,228,302,173,200,413,172,176,94,,,,,,,,,,
BTUS,349,208,288,261,,,,,,,,,,,,,,
MYFHXGFH,266,266,192,198,281,136,171,113,,,,,,,,,,
BTUSIL,493,190,295,155,156,123,,,,,,,,,,,,
MYFHXGEL,207,297,108,212,274,120,185,140,,,,,,,,,,
MYFHXGFHXS,388,182,207,298,346,121,137,258,259,179,,,,,,,,
BTUW,429,169,364,102,,,,,,,,,,,,,,
MYFHEDNMNUWUS,182,181,152,194,110,91,93,74,198,125,115,97,245,,,,,
MYEL,345,288,175,212,,,,,,,,,,,,,,
MYEL,420,145,221,298,,,,,,,,,,,,,,
BTUSZ,418,199,265,168,136,,,,,,,,,,,,,
MYEL,497,146,368,179,,,,,,,,,,,,,,
BTUWU,336,215,300,109,383,,,,,,,,,,,,,
MYEL,370,192,357,181,,,,,,,,,,,,,,
BTUSIL,297,212,257,203,156,106,,,,,,,,,,,,
MBTUWU,175,208,164,321,109,397,,,,,,,,,,,,
BTU,289,613,297,,,,,,,,,,,,,,,
MYFHDNMNUWUSFXGHXS,412,295,150,152,97,328,100,167,105,84,88,163,31,319,103,271,254,144
MYFH,282,312,211,113,,,,,,,,,,,,,,
BTUWU,326,189,307,91,240,,,,,,,,,,,,,
BTUWU,405,452,324,120,229,,,,,,,,,,,,,
BTUWUSIL,282,315,139,98,129,154,179,148,,,,,,,,,,
I,14,,,,,,,,,,,,,,,,,
MYFHDNTUS,203,235,168,107,109,178,153,231,749,,,,,,,,,
MYFHDNTU,271,285,154,149,58,173,228,125,,,,,,,,,,
BTUW,466,597,264,111,,,,,,,,,,,,,,
BTUSFXGFEL,442,144,317,114,31,323,125,28,206,99,,,,,,,,
MYFHXSIL,420,273,131,243,246,123,179,60,,,,,,,,,,
MYFHXGEL,241,180,152,259,345,123,188,102,,,,,,,,,,
BTUSFXGE,367,217,282,135,29,291,103,194,,,,,,,,,,
BTNMNMNUSIL,412,132,308,48,825,44,250,208,167,181,98,,,,,,,
MYEL,415,169,299,251,,,,,,,,,,,,,,
MYFH,371,300,154,184,,,,,,,,,,,,,,
BTUSIL,336,213,258,153,157,124,,,,,,,,,,,,
MYFHDNMNUS,222,280,150,222,95,107,63,247,327,226,,,,,,,,
BTUS,249,663,270,87,,,,,,,,,,,,,,
MYFHDNTUSIL,469,272,153,189,137,283,117,222,150,151,126,,,,,,,
MYFHRDNL,477,264,172,198,138,101,224,23,,,,,,,,,,
TUSE,95,205,134,136,,,,,,,,,,,,,,
BTUWU,368,198,292,115,181,,,,,,,,,,,,,
BTUWU,386,217,328,107,524,,,,,,,,,,,,,
MYFHXSIL,259,254,110,244,290,150,219,105,,,,,,,,,,
BTUSFXSIL,670,157,224,116,30,272,192,153,92,,,,,,,,,
BTNMNUWUSIL,305,250,208,53,298,327,74,357,107,181,123,,,,,,,
BTUSXS,403,348,239,95,289,249,,,,,,,,,,,,
BTNMNUWU,420,255,109,66,86,304,110,124,,,,,,,,,,
