string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
TFJ,775,550,312,,,,,,,,,,
XAICB,59,262,257,145,196,,,,,,,,
XATM,92,429,220,258,,,,,,,,,
MCB,504,153,158,,,,,,,,,,
XAIE,53,250,285,195,,,,,,,,,
XAICB,65,312,263,129,126,,,,,,,,
MMTQGF,206,94,225,197,89,173,,,,,,,
MCNJ,657,156,58,540,,,,,,,,,
TCB,549,169,138,,,,,,,,,,
XAGCN,79,388,84,142,55,,,,,,,,
XAF,93,806,204,,,,,,,,,,
XAQCF,74,585,268,115,216,,,,,,,,
XAQMG,65,317,271,152,67,,,,,,,,
XAP,74,584,234,,,,,,,,,,
XAQC,76,724,207,181,,,,,,,,,
MSRNP,364,57,103,80,192,,,,,,,,
XAQCB,78,288,207,139,156,,,,,,,,
XAQ,96,579,184,,,,,,,,,,
MCNP,583,139,34,121,,,,,,,,,
XAQCB,87,372,419,168,243,,,,,,,,
MCB,922,171,442,,,,,,,,,,
XAQCB,60,264,312,143,444,,,,,,,,
MGCBFJP,935,71,179,449,329,422,154,,,,,,
XAQGCB,61,253,267,58,107,92,,,,,,,
M,822,,,,,,,,,,,,
CBMC,179,285,261,144,,,,,,,,,
XAQ,88,549,280,,,,,,,,,,
XAQCBMCB,67,324,298,127,311,314,168,407,,,,,
TMCB,556,423,173,503,,,,,,,,,
XAQMCPM,65,368,340,264,475,133,219,,,,,,
XAQCB,88,630,389,118,736,,,,,,,,
XAQCB,65,339,224,136,238,,,,,,,,
TMCB,399,159,154,191,,,,,,,,,
XAQCB,65,283,263,165,252,,,,,,,,
XAQCB,66,458,222,227,184,,,,,,,,
TMCB,430,489,166,125,,,,,,,,,
XAQCNP,103,745,211,315,86,133,,,,,,,
TMCB,810,187,153,207,,,,,,,,,
XAQ,78,594,188,,,,,,,,,,
XAQCB,74,575,224,195,292,,,,,,,,
MSRPM,340,85,132,212,424,,,,,,,,
TMCB,521,169,195,101,,,,,,,,,
MGC,693,119,125,,,,,,,,,,
XAQCBM,62,1405,561,156,612,186,,,,,,,
XAQC,78,335,244,135,,,,,,,,,
XAQCBM,74,531,263,133,947,185,,,,,,,
